Region,State,N,A (Rh(D)),A (Rh(D)) CI Lower,A (Rh(D)) CI Upper,A (Rh(d)),A (Rh(d)) CI Lower,A (Rh(d)) CI Upper,B (Rh(D)),B (Rh(D)) CI Lower,B (Rh(D)) CI Upper,B (Rh(d)),B (Rh(d)) CI Lower,B (Rh(d)) CI Upper,AB (Blood groups),AB (Blood groups) CI Lower,AB (Blood groups) CI Upper,AB (Rh(D)),AB (Rh(D)) CI Lower,AB (Rh(D)) CI Upper,O (Blood groups),O (Blood groups) CI Lower,O (Blood groups) CI Upper,O (Rh(D)),O (Rh(D)) CI Lower,O (Rh(D)) CI Upper,O (Rh(d)),O (Rh(d)) CI Lower,O (Rh(d)) CI Upper
Northwest,Baja California,6716,27.60,26.09,2.77,1.43,1.13,1.55,8.64,8.30,8.98,0.38,0.34,0.46,0.01,0.00,0.04,0.01,0.00,0.08,57.34,57.13,58.08,2.67,2.52,2.82,5.67,5.16,5.27
Northwest,Sonora,14479,32.28,27.96,3.03,2.10,1.82,2.44,8.86,8.11,9.62,0.57,0.44,0.69,0.31,0.00,0.20,1.70,1.51,1.91,54.97,53.16,55.73,3.61,3.31,3.92,5.37,5.03,5.72
Northwest,Sinaloa,40449,30.52,30.07,30.97,1.14,1.08,1.29,7.94,7.66,8.20,0.47,0.35,0.70,0.21,0.09,0.17,2.01,1.88,2.16,52.13,51.23,53.03,3.73,3.64,3.82,5.20,5.08,5.77
Northwest,Durango,4825,31.25,24.54,3.99,2.48,2.12,2.56,10.08,10.02,10.76,0.62,0.47,0.79,0.01,0.00,0.04,1.23,1.05,1.41,64.26,63.05,64.47,3.08,2.64,3.80,2.12,1.93,2.33
Northeast,Coahuila,19823,21.67,22.09,22.26,0.81,0.71,0.95,8.65,8.30,9.00,0.33,0.30,0.42,0.05,0.03,0.09,1.28,1.13,1.44,60.05,58.38,60.71,2.12,1.93,2.33,2.33,2.02,4.23
Northeast,Nuevo Leon,921,31.86,22.01,27.16,0.70,0.27,1.56,8.88,8.12,11.98,0.22,0.08,0.79,0.00,0.00,0.01,1.85,1.15,2.95,59.58,54.39,62.8,2.33,2.02,4.23,2.50,2.11,2.96
West,Nayarit,3270,30.64,27.29,28.3,0.61,0.40,0.68,8.61,7.93,9.65,0.47,0.36,0.56,0.01,0.00,0.10,1.34,1.07,2.14,56.10,54.06,58.03,2.39,2.01,2.99,2.50,2.11,2.96
West,Jalisco,29206,28.13,27.37,28.70,1.77,1.62,1.92,9.38,8.99,9.65,0.48,0.39,0.60,0.18,0.14,0.24,2.24,2.11,2.38,54.67,53.66,55.53,2.34,1.81,3.01,2.65,2.50,2.81
West,Michoacan,2477,28.11,26.26,30.19,1.01,1.02,1.05,8.44,7.75,9.77,0.44,0.25,0.79,0.24,0.13,0.51,2.22,1.71,2.88,56.61,55.68,58.58,2.34,1.81,3.01,2.65,2.50,2.81
East,Puebla,1790,6.13,3.34,7.23,0.39,0.08,0.57,5.91,5.41,6.59,0.00,0.00,0.37,0.02,0.00,0.01,0.85,0.50,1.11,73.15,71.75,74.22,1.21,0.96,1.53,1.07,0.93,2.82
East,Veracruz,618,13.34,11.01,15.32,0.15,0.10,0.22,8.72,7.51,10.1,0.01,0.00,0.02,0.00,0.00,0.02,0.97,0.57,2.10,68.62,66.38,69.90,1.29,1.06,1.53,2.07,1.59,2.83
North-center,San Luis Potosi,13769,29.95,29.75,2.47,0.22,0.09,1.17,7.12,5.93,9.42,0.08,0.05,0.10,0.00,0.00,0.01,1.05,0.72,1.22,58.87,57.98,59.76,2.35,2.28,2.66,2.55,2.26,2.60
North-center,Aguascalientes,11709,33.33,24.86,3.53,1.12,1.08,1.33,9.38,9.37,10.63,0.38,0.25,0.30,0.05,0.03,0.07,1.34,1.03,1.91,59.04,58.29,60.23,2.20,2.07,2.35,2.57,2.22,3.17
North-center,Guanajuato,9418,25.83,25.13,26.27,0.76,0.59,0.94,8.50,8.21,8.26,0.35,0.31,0.41,0.05,0.03,0.12,1.23,1.05,1.48,64.26,63.05,64.42,1.51,1.23,2.17,1.86,1.71,2.52
South-center,Estado de Mexico,22275,20.45,19.97,21.03,0.65,0.55,0.74,7.00,6.68,7.35,0.38,0.26,0.50,0.02,0.00,0.06,1.02,0.91,1.19,69.32,68.71,69.92,1.36,1.17,1.52,1.85,1.64,2.09
South-center,Ciudad de Mexico,14344,22.96,22.28,23.66,0.73,0.60,0.89,7.79,7.34,8.32,0.24,0.20,0.30,0.01,0.00,0.07,1.47,1.24,2.63,64.87,64.03,65.46,1.85,1.64,2.09,2.56,2.50,2.94
Total,Total,271164,29.08,25.02,29.25,1.35,1.24,1.40,8.53,8.46,8.63,0.40,0.35,0.46,0.11,0.06,0.17,1.71,1.67,2.76,59.68,59.01,59.11,2.56,2.50,2.94,3.61,3.59,3.79
