Region,State,N,A_rh_Percent,A_rh_CI_Lower,A_rh_CI_Upper,A_Percent,A_CI_Lower,A_CI_Upper,B_rh_Percent,B_rh_CI_Lower,B_rh_CI_Upper,B_Percent,B_CI_Lower,B_CI_Upper,AB_rh_Percent,AB_rh_CI_Lower,AB_rh_CI_Upper,AB_Percent,AB_CI_Lower,AB_CI_Upper,O_rh_Percent,O_rh_CI_Lower,O_rh_CI_Upper,O_Percent,O_CI_Lower,O_CI_Upper
Northwest,Baja California,45716,27.36,26.95,27.77,1.43,1.33,1.55,8.64,8.39,8.9,0.39,0.34,0.46,1.82,1.7,1.94,0.1,0.08,0.14,57.58,57.13,58.03,2.67,2.52,2.82
Northwest,Sonora,14479,28.29,27.56,29.03,2.19,1.96,2.44,8.56,8.11,9.02,0.55,0.44,0.69,1.71,1.51,1.93,0.13,0.08,0.2,54.97,54.16,55.78,3.61,3.31,3.92
Northwest,Sinaloa,40449,30.52,30.07,30.97,2.41,2.26,2.56,7.94,7.68,8.2,0.62,0.55,0.7,1.93,1.81,2.07,0.12,0.09,0.16,52.73,52.25,53.22,3.73,3.55,3.92
Northwest,Durango,4925,25.75,24.54,26.99,1.14,0.88,1.47,10.86,10.02,11.76,0.47,0.31,0.7,2.4,2,2.86,0.1,0.04,0.24,56.2,54.81,57.58,3.09,2.64,3.61
Northeast,Coahuila,19823,22.67,22.09,23.26,0.82,0.7,0.95,8.68,8.3,9.08,0.33,0.26,0.42,1.28,1.13,1.44,0.05,0.03,0.09,64.05,63.38,64.71,2.12,1.93,2.33
Northeast,Nuevo Leon,921,24.86,22.18,27.76,0.76,0.37,1.56,9.88,8.12,11.98,0.22,0.06,0.79,1.85,1.15,2.93,0,0,0.41,59.5,56.3,62.63,2.93,2.02,4.23
West,Nayarit,5270,28.6,27.39,29.83,1.02,0.79,1.33,8.69,7.96,9.48,0.63,0.45,0.88,1.76,1.44,2.15,0.09,0.04,0.22,56.7,55.36,58.03,2.5,2.11,2.96
West,Jalisco,29206,28.18,27.67,28.7,1.77,1.62,1.92,9.31,8.98,9.65,0.47,0.4,0.56,2.24,2.07,2.41,0.18,0.14,0.24,54.86,54.29,55.43,2.99,2.8,3.19
West,Michoacan,2477,28.1,26.36,29.9,1.41,1.02,1.95,8.6,7.56,9.77,0.44,0.25,0.79,2.22,1.71,2.88,0.24,0.11,0.53,56.64,54.68,58.58,2.34,1.81,3.01
East,Puebla,6212,18.34,17.4,19.32,0.39,0.26,0.57,5.97,5.41,6.59,0.08,0.03,0.19,0.85,0.65,1.11,0.02,0,0.09,73.15,72.03,74.23,1.21,0.96,1.51
East,Veracruz,1790,21.34,19.51,23.3,0.56,0.3,1.02,8.72,7.5,10.11,0.22,0.09,0.57,1.28,0.86,1.92,0.06,0.01,0.32,65.75,63.52,67.92,2.07,1.5,2.83
North-center,San Luis Potosi,618,23.95,20.75,27.47,0.32,0.09,1.17,7.12,5.35,9.42,0.16,0.03,0.91,0.97,0.45,2.1,0,0,0.62,66.18,62.36,69.8,1.29,0.66,2.53
North-center,Aguascalientes,11709,25.13,24.36,25.93,1.12,0.94,1.33,9.9,9.37,10.45,0.38,0.28,0.5,1.96,1.72,2.22,0.09,0.05,0.17,58.87,57.98,59.76,2.55,2.28,2.86
North-center,Guanajuato,41648,25.85,25.43,26.27,0.98,0.89,1.08,8.98,8.71,9.26,0.35,0.3,0.41,1.78,1.65,1.91,0.07,0.05,0.11,59.78,59.31,60.25,2.2,2.07,2.35
North-center,Queretaro,9402,22.86,22.03,23.72,0.74,0.59,0.94,9.04,8.48,9.64,0.36,0.26,0.5,1.23,1.03,1.48,0.05,0.02,0.12,64.26,63.29,65.22,1.45,1.22,1.71
South-center,Estado de Mexico,22275,20.48,19.95,21.01,0.63,0.53,0.74,7,6.68,7.35,0.18,0.13,0.24,1.02,0.9,1.16,0.02,0.01,0.05,69.32,68.71,69.92,1.36,1.21,1.52
South-center,Ciudad de Mexico,14244,22.96,22.28,23.66,0.74,0.61,0.89,7.76,7.34,8.21,0.28,0.21,0.38,1.43,1.24,1.63,0.11,0.06,0.17,64.87,64.08,65.65,1.85,1.64,2.09
Total,Total,271164,26.08,25.92,26.25,1.35,1.31,1.4,8.53,8.42,8.63,0.4,0.38,0.43,1.71,1.67,1.76,0.1,0.09,0.11,59.26,59.07,59.44,2.56,2.5,2.62
